"id","station_id","socket_number","charging_method","connector_type","power"
"19107","7478","SKT/19495","DC","DC_CCS","300"
"19108","7478","SKT/19496","DC","DC_CCS","300"
"19109","7478","SKT/19497","DC","DC_CCS","300"
"19110","7479","SKT/11972","AC","AC_TYPE2","22"
"19111","7479","SKT/11973","AC","AC_TYPE2","22"
"19112","7480","SKT/12015","AC","AC_TYPE2","22"
"19113","7480","SKT/12016","AC","AC_TYPE2","22"
"19114","7481","SKT/19815","DC","DC_CCS","180"
"19115","7481","SKT/19816","DC","DC_CCS","180"
"19116","7482","SKT/13100","DC","DC_CCS","180"
"19117","7482","SKT/13101","DC","DC_CCS","180"
"19118","7482","SKT/13102","DC","DC_CCS","180"
"19119","7482","SKT/13103","DC","DC_CCS","180"
"19120","7482","SKT/13104","DC","DC_CCS","180"
"19121","7482","SKT/13105","DC","DC_CCS","180"
"19122","7482","SKT/19869","DC","DC_CCS","150"
"19123","7482","SKT/19870","DC","DC_CCS","150"
"19124","7482","SKT/19871","AC","AC_TYPE2","22"
"19125","7482","SKT/19872","AC","AC_TYPE2","22"
"19126","7482","SKT/19873","DC","DC_CCS","150"
"19127","7482","SKT/19874","DC","DC_CCS","150"
"19128","7483","SKT/14291","DC","DC_CCS","60"
"19129","7483","SKT/14292","DC","DC_CCS","60"
"19130","7484","SKT/20276","AC","AC_TYPE2","11"
"19131","7485","SKT/16881","DC","DC_CCS","180"
"19132","7485","SKT/16882","DC","DC_CCS","180"
"19133","7485","SKT/16883","AC","AC_TYPE2","22"
"19134","7485","SKT/16884","AC","AC_TYPE2","22"
"19135","7485","SKT/16885","AC","AC_TYPE2","22"
"19136","7486","SKT/8679","AC","AC_TYPE2","22"
"19137","7486","SKT/8680","AC","AC_TYPE2","22"
"19138","7487","SKT/14301","AC","AC_TYPE2","22"
"19139","7487","SKT/14302","AC","AC_TYPE2","22"
