"id","name","short_name"
"129","ROYAL","FEDERAL ELEKTRİK YATIRIM VE TİCARET ANONİM ŞİRKETİ"
"130","RSŞARJ","2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ"
"131","Rst ChargePoint","RST TEKNOLOJİ HİZMETLERİ VE ENERJİ SANAYİ TİCARET ANONİM ŞİRKETİ"
"132","RUG PAGE","D RECT CHARGE ELEKTRİK ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"133","ŞARJEN","3 SM ŞARJ İSTASYONLARI SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"134","ŞarjMatik","ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ"
"135","ŞARJON","ŞARJON YENİLENEBİLİR ENERJİ VE ELEKTRİKLİ ARAÇ ŞARJ SİSTEMLERİ TİCARET ANONİM ŞİRKETİ"
"136","ŞARJPLUS","ŞARJPLUS ELEKTRİKLİ ARAÇ ŞARJ SİSTEMLERİ LİMİTED ŞİRKETİ"
"137","ŞARJSTART","KOÇASLANLAR AKARYAKIT ENERJİ PETROL ÜRÜNLERİ SANAYİ TİCARET LİMİTED ŞİRKETİ"
"138","ŞARJTAK","TAYRAN GRUP İNŞAAT ANONİM ŞİRKETİ"
"139","SHARZ.NET","EVS ELEKTRİKLİ ŞARJ SİSTEMLERİ SAN.VE TİC.A.Ş."
"140","SHELL","SHELL & TURCAS PETROL ANONİM ŞİRKETİ"
"141","Sky World Solar Enerji","SKY WORLD SOLAR ENERJİ ANONIM ŞİRKETİ"
"142","SOLARGIZE","SMART SOLARGİZE YEŞİL MOBİLİTE ENERJİ ANONİM ŞİRKETİ"
"143","solarşarj","SOLAR ARAÇ ŞARJ HİZMETLERİ ANONİM ŞİRKETİ"
"144","spectrum girişimcilik","SPECTRUM GİRİŞİMCİLİK YATIRIMCILIK YAZILIM DANIŞMANLIK ANONİM ŞİRKETİ"
"145","ŞS ŞARJSTOP Güvenli Şarj Noktası","KARAKUŞLAR HALI TEKSTİL SANAYİ VE TİCARET ANONİM ŞİRKETİ"
