"id","station_number","city_id","district_id","station_name","address","is_private","brand_id","latitude","longitude"
"5430","ŞRJ/5950",,,"İstanbul Optimum","Demokrasi Caddesi  No:2/B Ataşehir / İSTANBUL","0","128","41.0082376","28.9783589"
"5431","ŞRJ/5951",,,"Kozzy","Kozyatağı Mahallesi Buket Sokağı  No:14 Kadıköy / İSTANBUL","0","128","40.9693157","29.0920795"
"5432","ŞRJ/5952",,,"Maltepe Park","Tugay Yolu Caddesi  No:67 Maltepe / İSTANBUL","0","128","40.9188912","29.1639846"
"5433","ŞRJ/4941",,,"SEMBOLCAMLICA","Ferah Mahallesi Çamlıca Tepesi Sokağı  No:40 Üsküdar / İSTANBUL","0","1","41.029471","29.0698011"
"5434","ŞRJ/5243",,,"TEBESSÜM DERNEĞİ","Küçük Çamlıca Mahallesi Kartallı Kadın Caddesi  No:12 Üsküdar / İSTANBUL","0","1","41.0175709","29.0714817"
"5435","ŞRJ/5662",,,"Beykoz Belediye Başkanlık Binası","Gümüşsuyu Mahallesi Kelle İbrahim Caddesi  No:Belediye Binası Beykoz / İSTANBUL","0","1","41.132719","29.10569"
"5436","ŞRJ/12675",,,"OPTİMUM GARDENS","Yenişehir Mahallesi Akkaya Sokağı  No:98/0 Pendik / İSTANBUL","0","10","40.9189084","29.3046128"
"5437","ŞRJ/12677",,,"Piri Reis Üniversitesi","Postane Mahallesi Eflatun Sokağı  No:8 Tuzla / İSTANBUL","0","143","40.8149217","29.2903946"
"5438","ŞRJ/12678",,,"Simpaş Aqua Manors","Necip Fazıl Mahallesi Gaffar Okkan Caddesi  No:6 Ümraniye / İSTANBUL","0","143","41.0139463","29.1737922"
"5439","ŞRJ/12679",,,"TEK MERVE PLAZA","İnkilap Mahallesi Oruçbey Sokağı  No:2/8 Ümraniye / İSTANBUL","0","50","41.0317387","29.1080424"
"5440","ŞRJ/3996",,,"Optimum Metro","Kurtköy Mahallesi Ulubatlı Sokağı  No:18 Pendik / İSTANBUL","0","48","40.9107417","29.296346"
"5441","ŞRJ/12715",,,"Maya Towers","Soğanlık Yeni Mahallesi Soğanlık Sokağı  No:D-100 Kuzey Yanyol Kartal / İSTANBUL","0","154","40.9185551","29.1753039"
"5442","ŞRJ/12717",,,"KMO BiMola ÖMERLİ","Ömerli Mahallesi  Bimola Dinlenme Tesisi  Merkez Çekmeköy / İSTANBUL","0","130","41.0082376","28.9783589"
"5443","ŞRJ/12676",,,"OPTIMUM GARDENS","Yenişehir Mahallesi Akkaya Sokağı  No:98/0 Pendik / İSTANBUL","0","10","40.9189084","29.3046128"
"5444","ŞRJ/12674",,,"YEŞİL YAMAÇ SİTESİ","Yavuztürk Mahallesi Tarih Sokağı  No:56 Üsküdar / İSTANBUL","0","10","41.0456002","29.0865011"
"5445","ŞRJ/12418",,,"BİLİM TOWER","Yukarı Dudullu Mahallesi Bayrak Caddesi  No:30 Ümraniye / İSTANBUL","0","10","41.0066341","29.1558854"
"5446","ŞRJ/5401",,,"MAGNOLİA SHOP KAVACIK","Rüzgarlıbahçe Mahallesi Özalp Sokağı  No:K BLOK 3 Beykoz / İSTANBUL","0","10","41.0914459","29.0961685"
"5447","ŞRJ/12610",,,"ÇENGELKÖY OTOPARKI","Çengelköy Caddesi  No:37/1 Üsküdar / İSTANBUL","0","10","41.0501285","29.0540091"
"5448","ŞRJ/12744",,,"Glow Üç","Esenşehir Mahallesi Kanuni Sokağı Ümraniye / İSTANBUL","0","143","41.0082376","28.9783589"
"5449","ŞRJ/12763",,,"İnci Ofis","Altunizade Mahallesi İnci Çıkmazı Sokağı  No:3 Üsküdar / İSTANBUL","0","154","41.0241857","29.0442817"
"5450","ŞRJ/12764",,,"ANPA GROSS KARTAL AVM","Soğanlık Yeni Mahallesi Selvi Sokağı  No:6 Kartal / İSTANBUL","0","86","40.9125976","29.2112312"
"5451","ŞRJ/2994",,,"Üçay Mühendislik Anadolu Şube","Mecidiye Mahallesi Demokrasi Sokağı  No:261 /1 Sultanbeyli / İSTANBUL","0","48","41.0082376","28.9783589"
"5452","ŞRJ/3469",,,"Nuvo Dragos","Cevizli Mahallesi Tugay Yolu Sokağı  No:12 /C Maltepe / İSTANBUL","0","48","40.9173579","29.1596431"
"5453","ŞRJ/3470",,,"Nuvo Dragos","Cevizli Mahallesi Tugay Yolu Sokağı  No:12 /D Maltepe / İSTANBUL","0","48","40.9173579","29.1596431"
"5454","ŞRJ/3680",,,"Upcity","Uğur Mumcu Mahallesi Şeyh Şamil Sokağı  No:15 Kartal / İSTANBUL","0","48","40.934498","29.2148824"
"5455","ŞRJ/4013",,,"Gensan","Girne Mahallesi Irmaklar Sokağı  No:72 /B:17 Maltepe / İSTANBUL","0","48","41.0082376","28.9783589"
"5456","ŞRJ/1735",,,"ŞARJON MERT MARİNE TUZLA","Evliya Çelebi Mahallesi Nazan Sokağı  No:12 Tuzla / İSTANBUL","0","135","40.8385168","29.2971209"
